,bankroll,solver,shrinkage,store_covariance,span_value,test_size_value,ROI,Number_of_bets,0
0,,svd,None,True,0.1,1,-0.008620689655172513,435,96.24999999999996
1,,svd,None,True,0.1,2,0.002655889145496483,433,101.14999999999998
2,,svd,None,True,0.1,3,0.0015624999999999795,416,100.64999999999999
3,,svd,None,True,0.1,4,-0.01756440281030445,427,92.5
4,,svd,None,True,0.1,5,0.024018475750577348,433,110.39999999999999
5,,svd,None,True,0.1,6,-0.05675057208237986,437,75.2
6,,svd,None,True,0.1,7,-0.0059953161592506245,427,97.43999999999998
7,,svd,None,True,0.1,8,0.004988399071925702,431,102.14999999999998
8,,svd,None,True,0.1,9,-0.0012171837708830672,419,99.49
9,,svd,None,True,0.1,10,-0.02168202764976961,434,90.58999999999999
10,,svd,None,True,0.2,1,-0.18098609355246525,791,-43.16000000000003
11,,svd,None,True,0.2,2,-0.12919805589307412,823,-6.33000000000002
12,,svd,None,True,0.2,3,-0.11153284671532848,822,8.319999999999986
13,,svd,None,True,0.2,4,-0.12163017031630176,822,0.019999999999949836
14,,svd,None,True,0.2,5,-0.1504039167686659,817,-22.880000000000045
15,,svd,None,True,0.2,6,-0.1234152334152335,814,-0.4600000000000577
16,,svd,None,True,0.2,7,-0.14404938271604947,810,-16.68000000000006
17,,svd,None,True,0.2,8,-0.15175245098039222,816,-23.830000000000055
18,,svd,None,True,0.2,9,-0.10420024420024424,819,14.659999999999968
19,,svd,None,True,0.2,10,-0.12494423791821567,807,-0.830000000000048
20,,svd,None,True,0.3,1,-0.4072806324110672,1265,-415.21000000000004
21,,svd,None,True,0.3,2,-0.3994207562349155,1243,-396.48
22,,svd,None,True,0.3,3,-0.41565428109854596,1238,-414.58
23,,svd,None,True,0.3,4,-0.3785082872928177,1267,-379.57000000000005
24,,svd,None,True,0.3,5,-0.41158143194335167,1271,-423.12
25,,svd,None,True,0.3,6,-0.41353037766830875,1218,-403.68000000000006
26,,svd,None,True,0.3,7,-0.4282546036829463,1249,-434.89
27,,svd,None,True,0.3,8,-0.4066666666666667,1266,-414.84000000000003
28,,svd,None,True,0.3,9,-0.41177025963808034,1271,-423.36000000000007
29,,svd,None,True,0.3,10,-0.4041581027667985,1265,-411.26000000000005
30,,svd,None,True,0.4,1,-0.5307696933253158,1663,-782.6700000000001
31,,svd,None,True,0.4,2,-0.5387135199523526,1679,-804.5
32,,svd,None,True,0.4,3,-0.5506548672566371,1695,-833.36
33,,svd,None,True,0.4,4,-0.5369436201780415,1685,-804.75
34,,svd,None,True,0.4,5,-0.5491885441527447,1676,-820.44
35,,svd,None,True,0.4,6,-0.5594421847762929,1721,-862.8000000000001
36,,svd,None,True,0.4,7,-0.5286749851455734,1683,-789.76
37,,svd,None,True,0.4,8,-0.5488365155131265,1676,-819.85
38,,svd,None,True,0.4,9,-0.5338557066824364,1691,-802.75
39,,svd,None,True,0.4,10,-0.5417498532002349,1703,-822.6
40,,svd,None,False,0.1,1,0.011811926605504503,436,105.14999999999996
41,,svd,None,False,0.1,2,-0.015034965034965042,429,93.55
42,,svd,None,False,0.1,3,-0.047319347319347345,429,79.69999999999999
43,,svd,None,False,0.1,4,0.018493150684931493,438,108.1
44,,svd,None,False,0.1,5,0.017894736842105248,437,107.82
45,,svd,None,False,0.1,6,0.009907621247113146,433,104.28999999999999
46,,svd,None,False,0.1,7,-0.045875576036866386,434,80.08999999999999
47,,svd,None,False,0.1,8,-0.011028708133971325,418,95.38999999999999
48,,svd,None,False,0.1,9,-0.05014150943396231,424,78.73999999999998
49,,svd,None,False,0.1,10,-0.04288056206088997,427,81.68999999999998
50,,svd,None,False,0.2,1,-0.1438089330024815,806,-15.910000000000078
51,,svd,None,False,0.2,2,-0.12775308641975314,810,-3.4800000000000537
52,,svd,None,False,0.2,3,-0.1114429109159348,797,11.179999999999964
53,,svd,None,False,0.2,4,-0.15311111111111117,810,-24.02000000000005
54,,svd,None,False,0.2,5,-0.10859903381642518,828,10.079999999999963
55,,svd,None,False,0.2,6,-0.13835351089588382,826,-14.280000000000044
56,,svd,None,False,0.2,7,-0.14033857315598555,827,-16.06000000000004
57,,svd,None,False,0.2,8,-0.15001231527093603,812,-21.810000000000052
58,,svd,None,False,0.2,9,-0.11635054021608648,833,3.0799999999999557
59,,svd,None,False,0.2,10,-0.12153381642512083,828,-0.6300000000000523
60,,svd,None,False,0.3,1,-0.3876271186440678,1239,-380.27
61,,svd,None,False,0.3,2,-0.4004213036565978,1258,-403.73
62,,svd,None,False,0.3,3,-0.4100655737704918,1220,-400.28
63,,svd,None,False,0.3,4,-0.41049323786793956,1257,-415.99000000000007
64,,svd,None,False,0.3,5,-0.40228847703464954,1241,-399.24000000000007
65,,svd,None,False,0.3,6,-0.3971315372424723,1262,-401.18000000000006
66,,svd,None,False,0.3,7,-0.39352180936995157,1238,-387.18000000000006
67,,svd,None,False,0.3,8,-0.4077211155378486,1255,-411.69000000000005
68,,svd,None,False,0.3,9,-0.40287420382165606,1256,-406.01000000000005
69,,svd,None,False,0.3,10,-0.41247181964573265,1242,-412.29
70,,svd,None,False,0.4,1,-0.5316847826086957,1656,-780.47
71,,svd,None,False,0.4,2,-0.5420353982300885,1695,-818.75
72,,svd,None,False,0.4,3,-0.5513824057450629,1671,-821.3600000000001
73,,svd,None,False,0.4,4,-0.5464850615114235,1707,-832.85
74,,svd,None,False,0.4,5,-0.5489137931034482,1740,-855.11
75,,svd,None,False,0.4,6,-0.5515789473684211,1710,-843.2
76,,svd,None,False,0.4,7,-0.5442050087361678,1717,-834.4000000000001
77,,svd,None,False,0.4,8,-0.5355562026790914,1717,-819.55
78,,svd,None,False,0.4,9,-0.5494964454976303,1688,-827.55
79,,svd,None,False,0.4,10,-0.5367785630153121,1698,-811.45
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
106,,,,,,,,,
107,,,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
111,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,,,,,,,,,
119,,,,,,,,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,,
132,,,,,,,,,
133,,,,,,,,,
134,,,,,,,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
153,,,,,,,,,
154,,,,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
173,,,,,,,,,
174,,,,,,,,,
175,,,,,,,,,
176,,,,,,,,,
177,,,,,,,,,
178,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
181,,,,,,,,,
182,,,,,,,,,
183,,,,,,,,,
184,,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
196,,,,,,,,,
197,,,,,,,,,
198,,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
201,,,,,,,,,
202,,,,,,,,,
203,,,,,,,,,
204,,,,,,,,,
205,,,,,,,,,
206,,,,,,,,,
207,,,,,,,,,
208,,,,,,,,,
209,,,,,,,,,
210,,,,,,,,,
211,,,,,,,,,
212,,,,,,,,,
213,,,,,,,,,
214,,,,,,,,,
215,,,,,,,,,
216,,,,,,,,,
217,,,,,,,,,
218,,,,,,,,,
219,,,,,,,,,
220,,,,,,,,,
221,,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
224,,,,,,,,,
225,,,,,,,,,
226,,,,,,,,,
227,,,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,,,,,,,,,
232,,,,,,,,,
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,,,,,,,,,
239,,,,,,,,,
