,bankroll,alpha,binarize,fit_priorbool,span_value,test_size_value,ROI,Number_of_bets,0
0,,0.01,0.01,True,0.1,1,-0.08950000000000005,520,53.45999999999997
1,,0.01,0.01,True,0.1,2,-0.16413793103448274,145,76.2
2,,0.01,0.01,True,0.1,3,-0.15403508771929839,114,82.43999999999998
3,,0.01,0.01,True,0.1,4,0.06466876971608865,317,120.5000000000001
4,,0.01,0.01,True,0.1,5,-0.14131944444444441,144,79.65
5,,0.01,0.01,True,0.1,6,-0.11261194029850749,134,84.91
6,,0.01,0.01,True,0.1,7,-0.1256617647058824,136,82.91
7,,0.01,0.01,True,0.1,8,-0.127925925925926,135,82.72999999999999
8,,0.01,0.01,True,0.1,9,-0.11632352941176476,136,84.17999999999999
9,,0.01,0.01,True,0.1,10,0.024511784511784755,297,107.28000000000007
10,,0.01,0.01,True,0.2,1,-0.07111000991080271,1009,28.250000000000057
11,,0.01,0.01,True,0.2,2,-0.0789136904761903,672,46.97000000000011
12,,0.01,0.01,True,0.2,3,-0.07848656294200838,707,44.510000000000076
13,,0.01,0.01,True,0.2,4,-0.08897887323943646,284,74.73000000000005
14,,0.01,0.01,True,0.2,5,-0.0895804195804194,286,74.38000000000005
15,,0.01,0.01,True,0.2,6,-0.0959027777777776,288,72.38000000000005
16,,0.01,0.01,True,0.2,7,-0.10213793103448258,290,70.38000000000005
17,,0.01,0.01,True,0.2,8,-0.10508650519031124,289,69.63000000000005
18,,0.01,0.01,True,0.2,9,-0.11123711340206167,291,67.63000000000005
19,,0.01,0.01,True,0.2,10,-0.10628865979381426,291,69.07000000000005
20,,0.01,0.01,True,0.3,1,-0.36802755165936124,1597,-487.7399999999999
21,,0.01,0.01,True,0.3,2,-0.41140311804008917,449,-84.72000000000001
22,,0.01,0.01,True,0.3,3,-0.41140311804008917,449,-84.72000000000001
23,,0.01,0.01,True,0.3,4,-0.41008928571428577,448,-83.72000000000001
24,,0.01,0.01,True,0.3,5,-0.41794230769230767,1040,-334.65999999999997
25,,0.01,0.01,True,0.3,6,-0.38373205741626804,418,-60.40000000000002
26,,0.01,0.01,True,0.3,7,-0.39657599999999993,1250,-395.7199999999999
27,,0.01,0.01,True,0.3,8,-0.4294939271255061,988,-324.34000000000003
28,,0.01,0.01,True,0.3,9,-0.38666666666666677,420,-62.40000000000002
29,,0.01,0.01,True,0.3,10,-0.3854631828978623,421,-62.280000000000015
30,,0.01,0.01,True,0.4,1,-0.5340585181689477,2119,-1031.67
31,,0.01,0.01,True,0.4,2,-0.5084842883548983,541,-175.08999999999997
32,,0.01,0.01,True,0.4,3,-0.5139814814814814,540,-177.54999999999995
33,,0.01,0.01,True,0.4,4,-0.48414908579465543,1422,-588.46
34,,0.01,0.01,True,0.4,5,-0.49486151603498535,1372,-578.9499999999999
35,,0.01,0.01,True,0.4,6,-0.5118899082568806,545,-178.97999999999996
36,,0.01,0.01,True,0.4,7,-0.4977719033232628,1324,-559.05
37,,0.01,0.01,True,0.4,8,-0.5122120658135283,547,-180.17999999999995
38,,0.01,0.01,True,0.4,9,-0.5119392523364485,1284,-557.3299999999999
39,,0.01,0.01,True,0.4,10,-0.5135424940428911,1259,-546.55
40,,0.01,0.01,False,0.1,1,-0.08225865209471771,549,54.83999999999998
41,,0.01,0.01,False,0.1,2,-0.15244755244755243,143,78.2
42,,0.01,0.01,False,0.1,3,-0.12902985074626871,134,82.71
43,,0.01,0.01,False,0.1,4,-0.1682300884955754,113,80.98999999999998
44,,0.01,0.01,False,0.1,5,0.02800000000000025,315,108.82000000000008
45,,0.01,0.01,False,0.1,6,-0.10103703703703704,135,86.36
46,,0.01,0.01,False,0.1,7,-0.1256617647058824,136,82.91
47,,0.01,0.01,False,0.1,8,-0.127925925925926,135,82.72999999999999
48,,0.01,0.01,False,0.1,9,0.009967105263158133,304,103.03000000000007
49,,0.01,0.01,False,0.1,10,0.009372693726937503,271,102.54000000000006
50,,0.01,0.01,False,0.2,1,-0.07416585365853648,1025,23.980000000000103
51,,0.01,0.01,False,0.2,2,-0.09099719101123577,712,35.210000000000136
52,,0.01,0.01,False,0.2,3,-0.11617161716171603,303,64.80000000000004
53,,0.01,0.01,False,0.2,4,-0.0888760806916425,694,38.32000000000011
