,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,HomeTeamPre-MatchxG,AwayTeamPre-MatchxG,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Wolfsberger AC,Sturm Graz,1,1,2,2,1,1,1,6,2,0,2,1,6,15,5,8,12,16,0.0,0.0,2022-07-23,3.08,3.62,2.34,2.92,3.5,2.29
1,Sturm Graz,Salzburg,2,1,3,1,1,0,3,7,1,0,4,0,6,8,3,5,10,14,0.0,0.0,2022-07-30,5.94,4.54,1.56,5.41,4.4,1.53
2,Ried,Sturm Graz,1,1,2,1,0,1,2,4,2,1,2,0,7,14,0,5,7,19,1.08,1.82,2022-08-06,3.69,3.54,2.11,3.43,3.46,2.07
3,Hartberg,Salzburg,0,2,2,0,0,0,0,2,1,0,3,1,5,8,3,4,16,15,1.21,1.27,2022-08-06,10.82,6.67,1.26,10.32,6.29,1.24
4,Salzburg,Wolfsberger AC,2,1,3,2,2,0,17,0,1,0,0,0,9,7,3,3,13,7,1.88,1.9,2022-08-14,1.24,7.06,11.58,1.22,6.64,10.84
5,Hartberg,Ried,2,0,2,0,0,0,0,4,1,0,3,1,10,13,5,8,11,7,0.94,0.92,2022-08-27,2.35,3.53,3.13,2.27,3.4,3.04
6,Sturm Graz,Hartberg,0,0,0,0,0,0,19,1,1,0,1,1,22,3,9,2,14,13,1.21,1.04,2022-09-03,1.4,5.29,7.83,1.39,4.99,7.07
7,Ried,Salzburg,0,3,3,2,0,2,2,7,1,1,1,1,9,15,4,5,7,20,1.09,1.52,2022-09-10,7.34,4.84,1.45,7.16,4.78,1.4
8,Wolfsberger AC,Hartberg,3,1,4,2,1,1,4,6,1,0,1,0,10,9,5,4,15,9,1.09,0.85,2022-09-17,1.76,4.17,4.48,1.76,3.97,4.12
9,Wolfsberger AC,Ried,1,2,3,2,0,2,8,7,1,0,2,0,7,7,2,4,13,7,1.17,1.09,2022-10-09,1.69,4.31,4.8,1.69,4.04,4.44
10,Sturm Graz,Wolfsberger AC,3,2,5,1,0,1,8,7,0,0,3,0,9,9,6,4,10,18,1.76,1.25,2022-10-16,1.63,4.3,5.2,1.61,4.13,5.04
11,Salzburg,Sturm Graz,0,0,0,0,0,0,5,2,3,1,3,0,9,8,3,5,9,12,2.01,1.39,2022-10-22,1.73,3.77,5.36,1.71,3.72,4.82
12,Salzburg,Hartberg,1,0,1,0,0,0,7,3,0,0,0,0,13,7,6,5,6,8,1.87,0.93,2022-10-29,1.21,7.42,13.76,1.2,6.97,11.81
13,Sturm Graz,Ried,2,1,3,1,1,0,9,3,0,0,1,0,17,8,10,5,5,11,1.7,0.98,2022-10-30,1.32,5.62,10.38,1.32,5.28,9.08
14,Wolfsberger AC,Salzburg,1,2,3,2,0,2,4,11,0,0,0,0,9,10,5,4,12,12,1.15,1.47,2022-11-05,8.99,5.85,1.33,7.78,5.19,1.35
