,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Shanghai Shenhua,Wuhan Three Towns,1,1,2,1,0,1,2,8,2,0,3,0,7,16,2,6,17,14,2022-06-12,5.4,3.62,1.7,5.23,3.75,1.63
1,Shenzhen,Meizhou Hakka,1,2,3,1,0,1,2,5,1,0,3,0,12,11,5,5,16,16,2022-06-13,2.73,3.15,2.78,2.58,3.07,2.78
2,Meizhou Hakka,Beijing Guoan,2,2,4,3,1,2,4,0,3,1,2,0,9,8,3,4,11,17,2022-06-17,2.91,3.17,2.6,2.82,3.14,2.51
3,Beijing Guoan,Shenzhen,4,1,5,1,1,0,4,6,3,0,0,0,10,17,7,7,21,15,2022-06-21,2.31,3.24,3.31,2.26,3.26,3.08
4,Meizhou Hakka,Shenzhen,1,0,1,0,0,0,6,2,2,0,2,0,9,12,3,6,16,13,2022-07-03,1.43,4.82,6.86,1.41,4.66,6.61
5,Wuhan Three Towns,Shanghai Shenhua,4,2,6,1,1,0,4,6,1,0,1,0,16,10,7,5,20,13,2022-07-03,1.83,3.75,4.27,1.76,3.71,4.22
6,Beijing Guoan,Meizhou Hakka,0,0,0,0,0,0,8,3,1,0,0,0,24,12,11,6,15,9,2022-07-07,3.31,3.23,2.31,3.1,3.17,2.29
7,Shenzhen,Beijing Guoan,2,1,3,1,0,1,5,3,3,0,2,0,16,8,10,4,18,18,2022-07-11,5.46,3.65,1.69,5.28,3.71,1.63
8,Shanghai Shenhua,Changchun Yatai,0,0,0,0,0,0,1,1,4,2,1,0,4,12,0,4,17,13,2022-08-05,2.52,3.35,2.86,2.51,3.24,2.73
9,Wuhan Three Towns,Beijing Guoan,5,1,6,3,2,1,2,8,1,0,2,0,14,16,10,7,11,15,2022-08-12,1.24,6.13,11.91,1.22,6.27,10.99
10,Meizhou Hakka,Wuhan Three Towns,1,2,3,3,1,2,6,5,1,0,2,0,10,15,3,6,11,12,2022-08-22,5.32,4.36,1.58,4.95,4.22,1.58
11,Beijing Guoan,Shanghai Shenhua,0,2,2,2,0,2,5,0,0,0,1,0,11,5,3,4,16,21,2022-08-26,2.17,3.37,3.48,2.04,3.43,3.47
12,Wuhan Three Towns,Shenzhen,5,1,6,2,2,0,4,2,1,0,2,1,24,9,9,2,18,15,2022-08-28,1.12,9.48,18.6,1.12,8.55,16.91
13,Changchun Yatai,Wuhan Three Towns,1,2,3,1,0,1,5,3,1,0,1,0,15,19,6,6,23,15,2022-09-20,2.79,3.65,2.32,2.84,3.46,2.31
14,Shanghai Shenhua,Meizhou Hakka,1,0,1,0,0,0,2,7,1,0,0,0,7,6,4,0,16,12,2022-09-20,3.44,3.2,2.27,3.21,3.14,2.26
15,Changchun Yatai,Shenzhen,1,0,1,1,1,0,5,3,1,0,1,0,9,12,5,0,12,16,2022-09-30,1.69,3.74,5.29,1.67,3.77,4.78
