,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,HomeTeamPre-MatchxG,AwayTeamPre-MatchxG,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Lyngby,Silkeborg,2,2,4,1,1,0,7,4,1,0,2,0,12,11,4,3,11,9,0.0,0.0,2022-07-17,3.51,3.39,2.23,3.36,3.38,2.14
1,Midtjylland,Silkeborg,1,3,4,1,0,1,12,2,1,0,2,0,11,5,7,5,8,5,2.54,1.15,2022-07-22,2.11,3.55,3.67,1.98,3.63,3.56
2,Horsens,Lyngby,1,0,1,1,1,0,2,8,4,0,3,0,12,16,3,2,11,11,0.0,0.0,2022-07-25,2.29,3.41,3.33,2.26,3.34,3.1
3,Lyngby,Midtjylland,3,3,6,4,1,3,5,3,2,0,1,0,8,14,4,4,11,7,1.24,1.66,2022-08-05,4.07,3.69,1.95,3.89,3.59,1.89
4,Horsens,Midtjylland,3,3,6,3,0,3,7,5,0,0,1,2,25,10,12,7,8,11,1.23,1.54,2022-08-12,4.87,3.85,1.77,4.53,3.73,1.74
5,Viborg,Silkeborg,2,0,2,2,2,0,5,7,0,0,1,0,10,11,4,5,7,6,1.99,1.04,2022-08-14,2.93,3.54,2.48,2.81,3.53,2.36
6,Viborg,Lyngby,2,1,3,0,0,0,7,7,1,0,1,0,16,12,7,4,8,2,1.71,1.6,2022-08-28,1.77,3.78,5.01,1.81,3.65,4.29
7,Viborg,Horsens,2,1,3,2,2,0,6,3,3,0,3,0,22,12,8,6,5,8,1.74,1.51,2022-09-12,1.72,3.99,5.05,1.7,3.81,4.8
8,Midtjylland,Viborg,1,1,2,2,1,1,6,2,2,0,2,0,20,9,7,3,15,15,2.06,1.76,2022-10-02,1.92,3.85,4.04,1.87,3.77,3.87
9,Silkeborg,Horsens,2,1,3,1,1,0,2,6,2,0,1,0,13,9,5,5,6,10,1.84,1.51,2022-10-02,1.71,4.12,4.96,1.68,3.95,4.76
10,Lyngby,Viborg,1,1,2,2,1,1,5,6,3,0,1,0,16,12,8,4,10,11,1.46,1.61,2022-10-07,3.82,3.72,1.99,3.66,3.65,1.95
11,Midtjylland,Horsens,2,1,3,2,1,1,2,3,1,0,2,1,23,10,13,3,3,14,2.05,1.49,2022-10-16,1.74,3.93,4.84,1.71,3.86,4.7
12,Horsens,Silkeborg,3,2,5,2,1,1,2,3,2,0,4,1,13,11,6,6,11,5,1.44,1.56,2022-10-23,3.68,3.63,2.06,3.53,3.52,2.03
13,Silkeborg,Viborg,1,2,3,1,1,0,5,3,0,0,3,0,11,11,5,4,8,12,1.68,1.58,2022-10-30,2.39,3.49,3.05,2.3,3.42,3.03
14,Silkeborg,Lyngby,0,2,2,0,0,0,8,3,1,0,1,0,21,15,5,6,7,7,1.63,1.61,2022-11-12,1.71,3.96,5.03,1.63,4.02,5.03
