,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Necaxa,Toluca,1,3,4,3,1,2,14,1,3,0,3,0,15,8,3,4,17,14,2022-07-02,1.91,3.77,4.15,1.89,3.47,3.93
1,Santos Laguna,Monterrey,4,3,7,4,2,2,7,6,2,0,4,0,21,17,6,9,6,19,2022-07-04,3.2,3.5,2.32,3.06,3.33,2.25
2,Puebla,Santos Laguna,1,0,1,1,1,0,10,2,3,0,2,0,13,7,7,0,10,9,2022-07-09,2.56,3.48,2.87,2.44,3.35,2.74
3,Cruz Azul,Pachuca,1,2,3,2,0,2,3,8,2,0,1,0,9,20,3,7,9,9,2022-07-10,2.77,3.29,2.76,2.65,3.22,2.61
4,Toluca,Atlas,3,2,5,4,3,1,4,8,1,1,4,0,15,22,10,6,8,15,2022-07-10,2.76,3.19,2.85,2.62,3.09,2.73
5,Atlas,Cruz Azul,3,2,5,2,1,1,4,0,1,0,4,1,14,18,7,5,17,9,2022-07-16,2.15,3.19,3.99,2.12,3.09,3.64
6,Toluca,Santos Laguna,2,1,3,2,2,0,9,2,2,0,3,0,22,12,10,6,12,16,2022-07-23,2.8,3.54,2.58,2.7,3.38,2.47
7,Cruz Azul,Puebla,2,2,4,4,2,2,7,3,2,0,2,0,23,11,9,6,9,12,2022-07-24,2.07,3.49,3.88,1.99,3.39,3.66
8,Monterrey,Puebla,1,0,1,1,1,0,4,6,2,0,4,0,23,5,8,2,12,9,2022-07-27,1.39,5.22,8.13,1.36,4.88,7.66
9,Necaxa,Pachuca,2,0,2,1,1,0,3,9,5,0,3,0,9,15,3,4,22,7,2022-07-28,3.14,3.31,2.46,2.98,3.18,2.37
10,Cruz Azul,Necaxa,1,0,1,1,1,0,3,4,3,0,4,0,11,17,7,4,6,10,2022-07-30,2.34,3.23,3.44,2.26,3.15,3.21
11,Santos Laguna,Atlas,1,0,1,0,0,0,3,4,2,0,2,0,11,16,3,2,15,11,2022-08-01,2.87,3.2,2.73,2.65,3.17,2.63
12,Toluca,Puebla,1,1,2,1,0,1,8,6,2,1,5,0,17,16,8,5,15,16,2022-08-03,2.36,3.45,3.19,2.28,3.34,2.99
13,Santos Laguna,Cruz Azul,4,0,4,1,1,0,6,5,0,0,0,0,17,12,10,2,12,12,2022-08-07,2.48,3.38,3.05,2.37,3.3,2.9
14,Necaxa,Monterrey,1,2,3,1,1,0,2,6,2,0,2,0,15,17,3,8,11,7,2022-08-13,3.36,3.31,2.33,3.13,3.18,2.27
15,Cruz Azul,Toluca,2,3,5,3,1,2,7,4,4,1,2,0,13,17,7,11,13,6,2022-08-14,2.21,3.34,3.63,2.13,3.28,3.38
16,Puebla,Necaxa,2,2,4,1,1,0,6,5,1,0,1,0,16,17,8,6,14,16,2022-08-17,2.42,3.21,3.31,2.3,3.16,3.11
17,Toluca,Monterrey,1,1,2,1,1,0,10,2,2,0,3,0,5,16,3,6,9,17,2022-08-18,2.43,3.51,3.02,2.35,3.42,2.8
18,Atlas,Puebla,1,1,2,2,1,1,5,3,3,0,4,0,16,10,7,5,9,20,2022-08-21,2.07,3.63,3.69,2.03,3.39,3.56
19,Pachuca,Atlas,3,1,4,0,0,0,3,3,0,0,0,1,21,5,9,3,9,16,2022-08-26,1.8,3.65,5.01,1.75,3.52,4.57
20,Toluca,Pachuca,1,4,5,2,0,2,3,5,5,1,4,0,12,25,6,12,8,10,2022-08-28,2.8,3.49,2.6,2.75,3.34,2.45
21,Pachuca,Santos Laguna,2,0,2,0,0,0,9,7,4,0,2,1,25,7,7,2,13,15,2022-09-03,1.73,3.78,5.31,1.71,3.68,4.67
22,Santos Laguna,Necaxa,3,1,4,1,1,0,1,2,1,0,2,0,21,21,7,8,4,14,2022-09-07,1.91,3.73,4.2,1.85,3.6,4.0
23,Monterrey,Cruz Azul,3,2,5,3,2,1,3,0,5,0,1,0,20,6,13,5,16,11,2022-09-07,1.48,4.6,7.27,1.44,4.38,6.76
24,Puebla,Pachuca,2,2,4,1,1,0,3,4,5,0,4,0,12,24,5,3,21,13,2022-09-08,3.42,3.39,2.27,3.27,3.3,2.17
25,Monterrey,Atlas,2,0,2,0,0,0,7,1,2,0,2,0,17,9,5,5,12,7,2022-09-18,1.44,4.54,8.63,1.42,4.39,7.24
26,Monterrey,Pachuca,0,0,0,0,0,0,3,1,2,0,3,0,12,14,4,6,11,7,2022-10-01,2.22,3.46,3.36,2.12,3.4,3.26
27,Atlas,Necaxa,1,0,1,0,0,0,1,4,0,0,2,0,11,16,3,3,9,14,2022-10-02,2.46,3.27,3.08,2.39,3.24,2.92
