,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Aalesund,Kristiansund,1,0,1,0,0,0,5,4,2,0,0,0,20,11,4,0,10,13,2022-04-03,2.19,3.7,3.31,2.15,3.57,3.21
1,Haugesund,Sandefjord,1,3,4,3,0,3,11,8,1,0,2,0,23,15,2,8,10,11,2022-04-03,2.01,3.47,4.09,1.98,3.37,3.92
2,Sarpsborg 08,Viking,0,1,1,0,0,0,6,6,1,0,2,0,8,22,4,5,8,7,2022-04-03,2.41,3.5,3.06,2.33,3.41,3.0
3,Kristiansund,Sarpsborg 08,2,3,5,3,0,3,8,3,2,0,1,0,18,15,8,4,13,9,2022-04-10,2.36,3.43,3.21,2.28,3.35,3.1
4,Rosenborg,Odd,1,0,1,1,1,0,2,2,2,0,1,0,10,15,4,3,7,5,2022-04-10,1.64,4.15,5.58,1.63,4.02,5.07
5,Viking,Aalesund,1,0,1,0,0,0,9,2,0,0,3,0,18,6,6,0,0,1,2022-04-10,1.44,5.21,6.93,1.41,4.94,6.76
6,Jerv,Kristiansund,1,0,1,1,1,0,8,4,1,0,1,0,16,13,4,3,8,9,2022-04-18,2.88,3.36,2.61,2.82,3.33,2.48
7,Sarpsborg 08,Rosenborg,1,1,2,1,1,0,6,10,2,0,1,0,17,11,6,2,0,1,2022-04-18,2.38,3.42,3.16,2.4,3.35,2.92
8,Odd,Viking,2,1,3,0,0,0,3,7,2,0,1,0,19,24,6,8,9,14,2022-04-18,3.48,3.6,2.16,3.43,3.61,2.05
9,Odd,Aalesund,2,3,5,2,0,2,13,3,2,0,1,0,15,10,6,5,9,8,2022-04-23,2.07,3.66,3.68,2.01,3.62,3.55
10,Rosenborg,Molde,0,0,0,0,0,0,7,0,2,0,3,0,16,9,2,2,9,13,2022-04-24,2.26,3.64,3.21,2.29,3.53,2.95
11,Viking,Haugesund,5,1,6,3,2,1,7,4,1,0,2,0,20,18,11,2,8,11,2022-04-30,1.48,4.89,6.6,1.46,4.67,6.28
12,Sarpsborg 08,Odd,1,0,1,0,0,0,7,6,1,0,2,1,25,14,9,5,10,9,2022-05-07,1.81,3.86,4.55,1.75,3.85,4.47
13,Molde,Viking,3,4,7,4,3,1,4,7,3,1,3,0,12,17,5,7,11,11,2022-05-07,2.16,3.78,3.33,2.08,3.76,3.2
14,Haugesund,Kristiansund,2,0,2,1,1,0,4,9,2,0,2,0,11,17,3,6,14,13,2022-05-08,2.03,3.61,3.91,2.0,3.56,3.61
15,Molde,Odd,3,0,3,2,2,0,10,4,1,0,2,1,28,6,13,2,11,8,2022-05-11,1.42,5.23,7.33,1.38,5.16,7.09
16,Aalesund,Molde,0,2,2,2,0,2,5,2,3,0,2,0,16,11,2,5,15,12,2022-05-16,3.0,3.56,2.42,2.96,3.53,2.28
17,Rosenborg,Sandefjord,3,0,3,1,1,0,13,3,0,0,1,0,24,10,5,2,7,11,2022-05-16,1.37,5.67,7.97,1.35,5.21,8.17
18,Odd,Haugesund,0,4,4,2,0,2,10,3,0,0,0,0,21,8,7,5,6,9,2022-05-16,2.01,3.68,3.87,1.99,3.6,3.6
19,Viking,Jerv,3,0,3,0,0,0,14,4,4,0,2,1,25,12,12,2,10,16,2022-05-16,1.16,8.45,17.58,1.14,8.25,16.42
20,Molde,Kristiansund,2,1,3,2,2,0,10,8,2,0,4,0,19,15,5,3,9,12,2022-05-21,1.3,6.35,8.89,1.29,5.98,8.62
21,Jerv,Odd,0,1,1,0,0,0,3,7,2,0,1,0,9,23,3,7,13,11,2022-05-22,2.7,3.51,2.69,2.58,3.41,2.64
22,Sarpsborg 08,Aalesund,1,2,3,2,1,1,12,6,4,0,3,0,19,11,9,5,7,8,2022-05-22,1.94,3.65,4.17,1.92,3.58,3.88
23,Aalesund,Jerv,2,1,3,0,0,0,9,2,1,0,2,0,26,17,11,8,13,10,2022-05-25,1.4,5.03,8.25,1.39,4.78,7.77
24,Odd,Sandefjord,0,1,1,1,0,1,8,2,1,0,4,0,28,7,4,3,3,8,2022-05-25,1.9,3.85,4.11,1.88,3.76,3.85
25,Rosenborg,Haugesund,3,3,6,4,1,3,7,4,1,0,4,0,14,10,7,4,11,15,2022-05-26,1.56,4.54,5.95,1.53,4.37,5.63
26,Sarpsborg 08,Molde,1,2,3,0,0,0,6,4,0,0,1,0,16,18,7,9,9,5,2022-05-26,2.89,3.93,2.34,2.78,3.7,2.32
27,Haugesund,Aalesund,2,2,4,2,1,1,5,4,1,0,1,0,16,14,3,5,9,18,2022-05-29,2.15,3.51,3.59,2.11,3.43,3.4
28,Jerv,Sarpsborg 08,0,5,5,2,0,2,11,6,0,0,0,0,20,27,5,14,9,10,2022-05-29,3.85,3.8,1.98,3.61,3.7,1.95
29,Odd,Molde,1,2,3,1,0,1,3,3,1,0,3,0,17,18,10,5,0,1,2022-06-19,3.26,3.78,2.19,3.19,3.67,2.1
30,Viking,Sandefjord,1,2,3,1,1,0,15,5,0,0,2,0,24,13,6,3,6,13,2022-06-19,1.21,7.66,12.11,1.19,7.43,12.23
31,Haugesund,Viking,4,2,6,3,1,2,6,1,2,0,3,1,20,7,9,4,15,12,2022-06-25,3.56,3.66,2.11,3.32,3.56,2.09
32,Rosenborg,Kristiansund,3,1,4,3,2,1,5,4,2,0,4,0,17,13,4,2,14,14,2022-06-25,1.52,4.74,6.15,1.49,4.61,5.8
33,Jerv,Haugesund,1,0,1,0,0,0,7,6,3,0,3,0,10,14,5,0,10,10,2022-07-02,3.27,3.68,2.22,3.26,3.57,2.12
34,Sarpsborg 08,Sandefjord,4,3,7,4,2,2,4,10,0,1,2,0,14,22,6,8,6,14,2022-07-03,1.38,5.74,7.38,1.37,5.39,6.86
35,Viking,Rosenborg,1,1,2,1,0,1,8,2,2,1,1,1,13,9,4,2,10,11,2022-07-03,1.94,3.93,3.84,1.95,3.77,3.54
36,Molde,Jerv,1,1,2,0,0,0,10,5,1,0,1,0,20,9,7,5,8,8,2022-07-06,1.19,7.84,13.88,1.18,7.47,13.57
37,Rosenborg,Jerv,3,2,5,3,2,1,7,3,1,0,3,0,29,11,7,8,10,7,2022-07-10,1.3,6.48,9.24,1.28,5.86,9.32
38,Sandefjord,Aalesund,2,2,4,2,1,1,4,3,1,0,2,0,13,18,6,5,5,9,2022-07-12,2.4,3.61,2.99,2.37,3.48,2.85
39,Jerv,Sandefjord,1,2,3,0,0,0,5,6,0,0,1,0,13,20,3,7,7,7,2022-07-16,2.61,3.74,2.65,2.54,3.57,2.58
40,Molde,Haugesund,1,0,1,0,0,0,8,0,2,0,1,0,23,7,9,0,15,12,2022-07-17,1.49,4.92,6.02,1.48,4.71,5.83
41,Viking,Kristiansund,2,1,3,0,0,0,6,4,1,0,2,0,19,11,4,5,6,10,2022-07-17,1.43,5.31,6.59,1.41,5.05,6.36
42,Aalesund,Rosenborg,0,0,0,0,0,0,2,3,2,0,0,0,9,10,5,2,15,9,2022-07-17,2.96,3.47,2.49,2.85,3.38,2.41
43,Haugesund,Sarpsborg 08,3,1,4,3,2,1,6,10,4,0,1,1,12,14,8,3,6,16,2022-07-24,2.79,3.68,2.52,2.64,3.63,2.45
44,Kristiansund,Odd,2,2,4,2,2,0,6,2,1,0,2,0,18,18,7,6,11,11,2022-07-24,2.22,3.78,3.19,2.16,3.67,3.06
45,Sandefjord,Molde,2,3,5,2,1,1,4,14,0,0,0,0,11,25,4,8,4,11,2022-07-24,5.31,4.72,1.58,4.91,4.5,1.57
46,Sandefjord,Kristiansund,2,0,2,1,1,0,2,12,0,0,2,0,13,18,5,2,8,5,2022-07-27,2.47,3.57,2.91,2.43,3.55,2.69
47,Odd,Rosenborg,2,3,5,1,1,0,7,2,2,0,2,0,19,18,8,11,5,15,2022-07-30,3.17,3.67,2.27,3.08,3.55,2.19
48,Haugesund,Jerv,3,1,4,1,1,0,6,5,3,0,5,0,30,16,4,5,17,16,2022-08-07,1.44,5.08,7.16,1.39,4.92,7.01
49,Kristiansund,Molde,2,3,5,4,2,2,9,6,3,1,2,0,11,10,5,4,13,14,2022-08-07,5.21,4.64,1.6,5.09,4.38,1.56
50,Sandefjord,Viking,2,2,4,2,2,0,4,5,1,0,1,0,10,19,5,4,6,3,2022-08-07,3.86,4.11,1.9,3.74,3.78,1.88
51,Sandefjord,Rosenborg,2,5,7,4,2,2,1,3,2,1,1,0,13,20,5,9,5,11,2022-08-12,5.22,4.57,1.61,4.99,4.24,1.6
52,Aalesund,Haugesund,1,2,3,0,0,0,6,6,0,0,6,0,22,15,6,3,13,10,2022-08-13,2.21,3.55,3.41,2.19,3.4,3.22
53,Odd,Sarpsborg 08,1,0,1,1,1,0,2,7,3,0,0,0,12,15,3,5,5,8,2022-08-20,2.84,3.68,2.48,2.7,3.72,2.37
54,Haugesund,Molde,0,1,1,1,0,1,4,5,1,0,0,0,16,8,4,4,6,10,2022-08-21,3.83,3.99,1.93,3.7,3.9,1.86
55,Rosenborg,Aalesund,2,1,3,2,1,1,6,5,1,0,2,0,17,18,5,2,11,7,2022-08-21,1.43,5.29,7.0,1.39,4.92,7.1
56,Aalesund,Odd,1,1,2,2,1,1,3,4,2,0,3,0,22,15,5,5,14,14,2022-08-28,1.96,3.82,3.89,1.94,3.69,3.6
57,Molde,Sarpsborg 08,4,1,5,4,3,1,5,3,1,0,2,1,25,13,12,2,12,9,2022-08-28,1.39,5.38,7.77,1.36,5.34,7.19
