,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Dundalk,Derry City,2,2,4,2,1,1,7,6,3,0,1,0,11,14,9,6,-1,-1,2022-02-18,2.19,3.43,3.57,2.16,3.26,3.4
1,Bohemians,Dundalk,2,2,4,3,2,1,7,3,1,0,4,0,9,13,4,8,-1,-1,2022-02-25,2.27,3.51,3.31,2.23,3.34,3.11
2,Derry City,Shamrock Rovers,2,1,3,0,0,0,5,2,0,0,2,0,4,7,2,5,18,5,2022-02-25,4.11,3.4,2.03,3.81,3.24,2.02
3,Derry City,Sligo Rovers,0,0,0,0,0,0,6,4,0,0,3,0,11,4,6,2,2,10,2022-02-28,2.1,3.34,3.95,2.08,3.15,3.71
4,Dundalk,Finn Harps,3,0,3,1,1,0,5,3,1,0,2,0,6,11,3,3,7,9,2022-02-28,1.79,3.73,4.89,1.76,3.61,4.52
5,Shelbourne,Derry City,0,1,1,0,0,0,5,3,1,0,1,0,6,10,3,4,9,7,2022-03-04,3.77,3.35,2.15,3.63,3.22,2.08
6,Finn Harps,Bohemians,1,1,2,0,0,0,2,6,5,0,2,1,6,6,5,3,18,7,2022-03-04,3.31,3.18,2.43,3.22,3.11,2.3
7,Sligo Rovers,Dundalk,0,0,0,0,0,0,3,1,0,0,1,0,6,8,0,5,10,14,2022-03-05,3.0,3.37,2.52,2.88,3.2,2.45
8,Shelbourne,Dundalk,1,1,2,0,0,0,2,3,1,0,2,0,8,7,4,4,-1,-1,2022-03-11,3.38,3.2,2.38,3.32,3.15,2.23
9,Shamrock Rovers,Bohemians,1,0,1,1,1,0,7,3,3,0,2,0,8,8,6,4,17,14,2022-03-11,1.65,3.93,5.93,1.65,3.65,5.39
10,Bohemians,Shelbourne,1,1,2,0,0,0,8,1,5,1,4,0,13,8,9,3,16,10,2022-03-14,1.94,3.36,4.61,1.91,3.17,4.41
11,Dundalk,Shamrock Rovers,0,0,0,0,0,0,5,7,2,0,2,0,14,14,5,7,14,11,2022-03-14,4.54,3.71,1.85,4.4,3.51,1.8
12,Sligo Rovers,Finn Harps,3,1,4,2,2,0,3,3,0,0,4,0,11,10,6,5,9,13,2022-03-14,2.07,3.16,4.37,2.05,3.14,3.85
13,Shelbourne,Finn Harps,0,3,3,1,0,1,2,5,1,0,4,0,-1,-1,-1,-1,-1,-1,2022-03-18,2.34,3.06,3.65,2.23,2.98,3.54
14,Shamrock Rovers,Sligo Rovers,2,2,4,2,0,2,13,3,2,0,4,0,25,6,12,4,11,12,2022-03-18,1.68,3.73,5.92,1.65,3.55,5.54
15,Bohemians,Derry City,1,2,3,1,1,0,4,5,2,0,2,0,11,12,4,7,13,8,2022-04-01,2.62,3.26,2.95,2.58,3.08,2.83
16,Sligo Rovers,Shelbourne,0,1,1,1,0,1,5,3,3,0,2,0,15,8,7,4,10,7,2022-04-01,1.85,3.37,5.17,1.83,3.25,4.7
17,Finn Harps,Shamrock Rovers,0,3,3,1,0,1,3,9,0,1,2,0,4,7,2,6,6,9,2022-04-01,5.42,3.46,1.8,4.94,3.43,1.74
18,Sligo Rovers,Bohemians,0,1,1,1,0,1,5,4,0,0,0,0,9,10,3,6,11,13,2022-04-05,2.46,3.28,3.16,2.35,3.1,3.13
