,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Hammarby,Helsingborg,2,1,3,1,1,0,7,4,2,0,3,0,20,7,7,4,13,16,2022-04-02,1.43,5.09,7.47,1.4,4.89,7.17
1,Varberg,Kalmar,0,3,3,2,0,2,4,3,5,0,0,0,14,15,5,7,24,9,2022-04-10,2.88,2.97,2.91,2.76,2.92,2.8
2,Kalmar,Degerfors,2,0,2,1,1,0,4,6,1,0,2,0,24,7,11,3,11,14,2022-04-17,1.81,3.76,4.73,1.79,3.7,4.39
3,Sirius,Helsingborg,1,0,1,1,1,0,4,4,3,0,3,0,11,10,5,2,0,1,2022-04-17,2.26,3.52,3.31,2.24,3.42,3.13
4,AIK,Varberg,1,0,1,1,1,0,9,1,0,0,2,0,18,5,6,3,14,24,2022-04-20,1.53,4.01,7.64,1.53,3.82,6.94
5,Degerfors,Hammarby,0,1,1,1,0,1,1,11,3,0,4,0,15,15,5,8,11,16,2022-04-21,5.01,4.26,1.68,4.85,4.21,1.63
6,Helsingborg,Elfsborg,1,0,1,1,1,0,2,6,1,0,3,0,5,17,2,3,11,14,2022-04-21,5.13,3.99,1.71,4.8,3.84,1.7
7,Sirius,Hammarby,0,3,3,1,0,1,1,8,1,0,2,0,3,16,2,6,9,11,2022-04-25,5.2,4.25,1.66,4.89,4.09,1.64
8,Degerfors,Elfsborg,0,6,6,4,0,4,4,7,4,1,1,0,13,19,5,9,12,12,2022-05-01,4.64,4.39,1.7,4.49,4.19,1.67
9,Kalmar,Hammarby,2,0,2,2,2,0,0,4,0,0,0,0,7,11,7,5,19,13,2022-05-08,3.69,3.29,2.2,3.46,3.23,2.17
10,Varberg,Sirius,0,2,2,0,0,0,8,6,4,0,4,0,16,15,4,7,19,16,2022-05-08,2.03,3.33,4.23,2.01,3.21,4.0
