,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Winterthur,Basel,1,1,2,1,1,0,11,3,3,0,4,0,8,10,3,6,21,10,2022-07-16,3.05,3.57,2.35,2.88,3.5,2.3
1,Lugano,Sion,2,3,5,1,0,1,9,7,0,1,0,0,15,13,6,6,8,12,2022-07-17,1.85,3.75,4.36,1.87,3.63,3.89
2,Servette,St. Gallen,1,0,1,1,1,0,6,4,1,0,2,0,8,13,3,3,12,10,2022-07-17,2.41,3.87,2.78,2.34,3.71,2.7
3,St. Gallen,Winterthur,2,0,2,2,2,0,4,3,2,1,4,0,20,13,5,3,8,11,2022-07-23,1.71,4.38,4.45,1.7,4.18,4.2
4,Basel,Servette,1,1,2,1,1,0,6,2,3,0,5,0,17,14,5,4,8,6,2022-07-24,1.94,3.96,3.74,1.89,3.76,3.68
5,Sion,Young Boys,0,3,3,2,0,2,4,6,2,0,3,0,16,12,9,5,10,14,2022-07-24,4.29,4.01,1.81,4.06,3.97,1.76
6,Sion,Servette,0,0,0,0,0,0,6,7,4,0,1,0,16,10,5,2,15,9,2022-07-30,2.72,3.46,2.66,2.58,3.47,2.55
7,Winterthur,Lugano,1,4,5,4,1,3,4,3,4,0,1,0,12,15,3,8,15,7,2022-07-31,2.68,3.35,2.77,2.54,3.31,2.67
8,Servette,Winterthur,1,0,1,0,0,0,7,4,2,0,6,0,12,8,7,0,6,12,2022-08-06,1.72,3.99,4.85,1.75,3.81,4.31
9,Basel,Young Boys,0,0,0,0,0,0,6,8,3,0,1,0,13,13,9,6,7,13,2022-08-07,3.04,3.8,2.26,2.95,3.68,2.18
10,Lugano,Luzern,1,2,3,1,0,1,6,3,1,0,4,0,14,18,6,8,10,12,2022-08-07,2.3,3.61,3.1,2.27,3.52,2.91
11,St. Gallen,Luzern,4,1,5,1,1,0,10,3,0,0,1,0,23,2,16,2,9,14,2022-08-13,2.2,4.06,3.01,2.17,3.82,2.92
12,Basel,Lugano,0,2,2,0,0,0,8,4,1,0,4,0,19,9,6,6,13,10,2022-08-14,1.88,3.97,3.98,1.85,3.78,3.82
13,Young Boys,Servette,3,0,3,1,1,0,4,1,3,0,1,0,19,9,9,3,14,3,2022-08-14,1.44,5.04,6.93,1.41,4.83,6.65
14,Luzern,Sion,2,0,2,2,2,0,6,8,5,3,4,0,15,18,11,7,10,12,2022-08-27,2.07,3.91,3.38,2.0,3.72,3.38
15,Lugano,St. Gallen,2,3,5,3,1,2,6,6,2,0,3,0,20,18,11,6,13,13,2022-08-28,2.67,3.99,2.45,2.66,3.76,2.35
16,Winterthur,Young Boys,1,5,6,2,1,1,1,8,2,0,2,0,8,14,4,12,12,12,2022-08-28,5.31,4.24,1.63,5.27,4.15,1.57
17,Sion,Basel,2,1,3,1,1,0,7,3,4,0,3,0,22,6,11,4,0,1,2022-09-03,3.15,4.01,2.14,3.15,3.63,2.12
18,Luzern,Servette,0,2,2,1,0,1,8,6,0,1,4,0,21,9,3,4,3,7,2022-09-04,2.62,3.66,2.65,2.52,3.48,2.61
19,St. Gallen,Young Boys,2,1,3,0,0,0,2,1,3,0,2,2,16,8,12,4,12,9,2022-09-04,3.47,3.86,2.05,3.37,3.67,2.01
20,St. Gallen,Sion,1,2,3,2,0,2,9,2,4,0,4,0,15,15,4,11,12,12,2022-09-10,1.64,4.39,5.02,1.62,4.3,4.65
21,Winterthur,Luzern,0,6,6,4,0,4,2,4,2,0,1,0,9,20,5,12,14,8,2022-09-10,3.15,3.68,2.25,3.02,3.58,2.2
22,Young Boys,Lugano,3,0,3,2,2,0,3,2,3,0,3,0,12,7,6,2,14,16,2022-09-11,1.57,4.64,5.4,1.55,4.42,5.16
23,Basel,St. Gallen,3,2,5,3,2,1,5,1,5,0,5,1,14,9,5,4,17,13,2022-10-01,2.22,3.97,3.0,2.16,3.79,2.97
24,Sion,Winterthur,1,3,4,2,1,1,8,6,3,0,3,0,13,13,7,8,9,12,2022-10-02,1.56,4.45,6.05,1.54,4.24,5.52
25,Lugano,Servette,1,0,1,1,1,0,0,4,2,0,3,0,9,11,4,4,13,15,2022-10-02,2.47,3.53,2.95,2.4,3.4,2.84
26,Luzern,Young Boys,1,2,3,2,1,1,7,12,4,0,1,0,14,14,5,8,9,12,2022-10-02,3.73,3.92,1.98,3.54,3.76,1.94
27,Young Boys,St. Gallen,2,1,3,2,1,1,4,2,1,0,1,0,12,12,4,8,15,1,2022-10-08,1.64,4.51,4.86,1.58,4.38,4.84
28,Servette,Luzern,1,1,2,1,1,0,4,5,2,0,2,0,7,11,5,4,15,13,2022-10-09,2.18,3.96,3.1,2.16,3.61,3.03
29,Lugano,Basel,1,0,1,1,1,0,2,5,2,0,2,0,8,7,4,3,11,17,2022-10-09,2.52,3.45,2.88,2.46,3.39,2.75
