,Unnamed: 0,HomeTeam,AwayTeam,PSH,PSD,PSA,Date,Unnamed: 0.1
0,0,Patronato,Arsenal,1.62,3.2,2.15,2022-07-09,288.0
2,3,Talleres Córdoba,Barracas Central,1.25,3.5,3.75,2022-07-09,291.0
3,4,Platense,Newell's Old Boys,1.88,3.1,1.82,2022-07-09,292.0
4,1,San Lorenzo,Boca Juniors,2.6,3.1,1.45,2022-07-09,289.0
0,288,Patronato,Arsenal,1.62,3.2,2.15,2022-07-09,
1,289,San Lorenzo,Boca Juniors,2.6,3.1,1.45,2022-07-09,
2,290,Banfield,Unión Santa Fe,1.45,3.1,2.55,2022-07-09,
3,291,Talleres Córdoba,Barracas Central,1.25,3.5,3.75,2022-07-09,
4,292,Platense,Newell's Old Boys,1.88,3.1,1.82,2022-07-09,
1,2,Banfield,Unión Santa Fe,1.45,3.1,2.55,2022-07-09,290.0
5,5,Estudiantes,Central Córdoba SdE,1.3,3.4,3.4,2022-07-10,293.0
6,6,Racing Club,Independiente,1.33,3.4,3.4,2022-07-10,294.0
7,7,Atlético Tucumán,Gimnasia La Plata,1.72,3.1,2.17,2022-07-10,295.0
0,153,Coritiba,Juventude,2.15,3.2,3.25,2022-07-10,
11,0,Coritiba,Juventude,2.15,3.2,3.25,2022-07-10,153.0
12,2,Urawa Reds,Tokyo,2.0,3.1,3.6,2022-07-10,184.0
13,3,Cerezo Osaka,Yokohama F. Marinos,3.0,3.25,2.15,2022-07-10,185.0
14,4,Avispa Fukuoka,Kyoto Sanga,2.45,2.87,2.9,2022-07-10,186.0
15,5,Sagan Tosu,Kashiwa Reysol,2.25,3.0,3.1,2022-07-10,187.0
16,5,Cuiabá,Botafogo,2.37,3.0,3.0,2022-07-10,158.0
17,4,Fortaleza,Palmeiras,4.6,3.3,1.75,2022-07-10,157.0
18,3,Santos,Atlético GO,1.91,3.2,4.0,2022-07-10,156.0
19,2,Atlético Mineiro,São Paulo,1.73,3.4,4.75,2022-07-10,155.0
20,1,Corinthians,Flamengo,2.2,3.1,3.2,2022-07-10,154.0
21,1,Sanfrecce Hiroshima,Shonan Bellmare,1.75,3.1,5.0,2022-07-10,183.0
9,9,River Plate,Godoy Cruz,1.15,4.0,5.75,2022-07-10,297.0
8,8,Lanús,Huracán,1.94,3.0,1.9,2022-07-10,296.0
10,0,Nagoya Grampus,Shimizu S-Pulse,1.91,3.1,3.9,2022-07-10,182.0
4,186,Avispa Fukuoka,Kyoto Sanga,2.45,2.87,2.9,2022-07-10,
5,158,Cuiabá,Botafogo,2.37,3.0,3.0,2022-07-10,
2,155,Atlético Mineiro,São Paulo,1.73,3.4,4.75,2022-07-10,
1,154,Corinthians,Flamengo,2.2,3.1,3.2,2022-07-10,
9,297,River Plate,Godoy Cruz,1.15,4.0,5.75,2022-07-10,
8,296,Lanús,Huracán,1.94,3.0,1.9,2022-07-10,
4,157,Fortaleza,Palmeiras,4.6,3.3,1.75,2022-07-10,
5,187,Sagan Tosu,Kashiwa Reysol,2.25,3.0,3.1,2022-07-10,
6,294,Racing Club,Independiente,1.33,3.4,3.4,2022-07-10,
5,293,Estudiantes,Central Córdoba SdE,1.3,3.4,3.4,2022-07-10,
0,182,Nagoya Grampus,Shimizu S-Pulse,1.91,3.1,3.9,2022-07-10,
1,183,Sanfrecce Hiroshima,Shonan Bellmare,1.75,3.1,5.0,2022-07-10,
2,184,Urawa Reds,Tokyo,2.0,3.1,3.6,2022-07-10,
3,185,Cerezo Osaka,Yokohama F. Marinos,3.0,3.25,2.15,2022-07-10,
7,295,Atlético Tucumán,Gimnasia La Plata,1.72,3.1,2.17,2022-07-10,
