timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1649532600,Apr 09 2022 - 7:30pm,complete,22855,Fluminense,Santos,Anderson Daronco,1,0.00,0.00,1.78,1.00,0,0,0,0,0,0,"","",8,1,1,0,0,0,0,1,0,0,27,4,7,2,20,2,14,18,66,34,2.57,0.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.21,4.40,1.51,2.48,4.75,10.00,2.20,1.62,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1649541600,Apr 09 2022 - 10:00pm,complete,N/A,Atlético GO,Flamengo,Braulio da Silva Machado,1,0.00,0.00,1.38,1.00,1,1,2,0,0,0,"75","84",4,10,3,0,2,0,1,2,0,2,12,13,5,3,7,10,7,11,44,56,1.33,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.85,3.88,1.55,1.27,1.84,3.00,5.50,1.91,1.91,Estádio Antônio Accioly (Goiânia- Goiás)
1649548800,Apr 10 2022 - 12:00am,complete,N/A,Palmeiras,Ceará,Caio Max Augusto Vieira,1,0.00,0.00,1.75,1.44,2,3,5,3,1,2,"22,90'6","7,14,85",11,8,4,0,9,1,2,2,3,7,18,21,5,9,13,12,17,14,56,44,1.95,2.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,3.87,7.30,1.38,2.28,4.05,7.20,2.38,1.53,Allianz Parque (São Paulo- São Paulo)
1649599200,Apr 10 2022 - 2:00pm,complete,N/A,Coritiba,Goiás,Raphael Claus,1,0.00,0.00,2.00,0.88,3,0,3,1,1,0,"10,47,90'1","",7,3,2,0,3,0,1,1,1,2,18,8,10,0,8,8,10,12,52,48,2.11,0.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.20,4.05,1.45,2.35,5.00,11.50,2.05,1.70,Estádio Major Antônio Couto Pereira (Curitiba- Paraná)
1649617200,Apr 10 2022 - 7:00pm,complete,N/A,Atlético Mineiro,Internacional,Bruno Arleu de Araujo,1,0.00,0.00,2.13,1.63,2,0,2,1,1,0,"10,90'3","",3,3,2,0,4,0,0,2,2,2,16,7,6,3,10,4,12,18,53,47,1.76,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.58,3.65,5.25,1.36,2.15,4.00,8.00,2.20,1.62,Estádio Governador Magalhães Pinto (Belo Horizonte- Minas Gerais)
1649617200,Apr 10 2022 - 7:00pm,complete,N/A,Botafogo,Corinthians,Wilton Pereira Sampaio,1,0.00,0.00,1.00,1.38,1,3,4,3,0,3,"66","17,26,44",2,4,1,0,4,0,1,0,1,3,11,16,5,10,6,6,6,18,56,44,1.40,1.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,3.00,2.40,1.53,2.50,5.00,11.00,2.10,1.67,Estádio Nilton Santos (Rio de Janeiro)
1649624400,Apr 10 2022 - 9:00pm,complete,N/A,Fortaleza,Cuiabá,Felipe Fernandes de Lima,1,0.00,0.00,0.88,1.13,0,1,1,1,0,1,"","8",7,1,2,0,3,0,0,2,1,2,22,10,5,5,17,5,22,23,65,35,2.07,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.80,5.75,1.40,2.30,4.00,8.00,2.20,1.60,Estádio Governador Plácido Aderaldo Castelo (Fortaleza- Ceará)
1649628000,Apr 10 2022 - 10:00pm,complete,N/A,São Paulo,Atlético PR,Wagner do Nascimento Magalhaes,1,0.00,0.00,2.00,1.44,4,0,4,1,1,0,"19,52,70,74","",5,5,1,0,3,0,1,0,0,3,19,8,10,0,9,8,17,14,54,46,2.15,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.10,4.35,1.47,2.30,4.75,10.00,2.38,1.53,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1649628000,Apr 10 2022 - 10:00pm,complete,N/A,Avaí,América Mineiro,Luiz Flavio De Oliveira,1,0.00,0.00,1.75,0.50,1,0,1,0,0,0,"52","",6,1,3,0,3,2,0,3,3,2,14,9,3,2,11,7,20,18,58,42,1.42,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.00,2.65,1.53,2.46,5.25,11.50,2.10,1.67,Estádio Aderbal Ramos da Silva (Florianópolis- Santa Catarina)
1649718000,Apr 11 2022 - 11:00pm,complete,N/A,Juventude,Bragantino,Rodolpho Toski Marques,1,0.00,0.00,0.63,1.00,2,2,4,2,1,1,"30,69","12,89",5,4,4,0,5,0,3,1,2,3,15,12,9,4,6,8,16,17,50,50,2.15,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.05,2.60,1.51,2.55,5.00,10.00,2.05,1.68,Estádio Alfredo Jaconi (Caxias do Sul- Rio Grande do Sul)
