timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657909800,Jul 15 2022 - 6:30pm,complete,N/A,Kaiserslautern,Hannover 96,Sven Waschitzki,1,0.00,0.00,3.00,0.00,2,1,3,1,1,0,"11,90'2","80",4,3,6,0,3,0,2,4,1,2,12,11,5,6,7,5,15,16,34,66,1.36,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.10,2.60,1.30,1.95,3.40,6.50,1.80,1.91,Fritz-Walter-Stadion (Kaiserslautern)
1657969200,Jul 16 2022 - 11:00am,complete,N/A,Greuther Fürth,Holstein Kiel,Robin Braun,1,0.00,0.00,1.00,2.00,2,2,4,1,0,1,"48,76","29,80",12,1,5,0,2,0,1,4,1,1,24,4,9,3,15,1,14,9,50,50,2.61,0.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.26,3.50,3.10,1.26,1.86,2.99,5.75,1.67,2.10,Sportpark Ronhof Thomas Sommer (Fürth)
1657969200,Jul 16 2022 - 11:00am,complete,N/A,St. Pauli,Nürnberg,Florian Heft,1,0.00,0.00,3.00,0.50,3,2,5,3,3,0,"24,37,39","46,90'3",4,4,3,0,4,0,1,2,2,2,17,12,8,5,9,7,17,10,51,49,1.90,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.33,3.70,2.90,1.21,1.69,2.63,4.84,1.62,2.20,Millerntor-Stadion (Hamburg)
1657969200,Jul 16 2022 - 11:00am,complete,N/A,Sandhausen,Arminia Bielefeld,Michael Bacher,1,0.00,0.00,3.00,0.00,2,1,3,1,1,0,"11,63","59",5,6,7,0,2,1,4,3,1,2,15,15,7,6,8,9,21,15,45,55,1.65,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.40,2.41,1.29,1.86,3.26,6.49,1.73,2.00,BWT-Stadion am Hardtwald (Sandhausen)
1657969200,Jul 16 2022 - 11:00am,complete,N/A,Jahn Regensburg,Darmstadt 98,Patrick Alt,1,0.00,0.00,2.00,1.50,2,0,2,1,1,0,"1,67","",3,5,3,0,3,1,0,3,2,2,14,14,4,3,10,11,16,12,41,59,1.38,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.90,1.99,1.19,1.64,2.50,4.27,1.57,2.25,Jahnstadion Regensburg (Regensburg)
1657996200,Jul 16 2022 - 6:30pm,complete,22288,Magdeburg,Fortuna Düsseldorf,Aarne Aarnink,1,0.00,0.00,0.00,1.50,1,2,3,1,0,1,"50","43,46",6,3,1,0,2,0,0,1,0,2,14,16,6,5,8,11,11,15,62,38,1.69,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.82,3.60,2.41,1.25,1.83,2.92,5.53,1.62,2.20,MDCC-Arena (Magdeburg)
1658057400,Jul 17 2022 - 11:30am,complete,N/A,Paderborn,Karlsruher SC,Florian Lechner,1,0.00,0.00,3.00,0.50,5,0,5,0,0,0,"56,65,68,72,75","",2,7,0,0,2,0,0,0,2,0,18,11,10,5,8,6,9,9,61,39,2.05,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.60,3.90,1.18,1.55,2.38,4.00,1.53,2.38,Home Deluxe Arena (Paderborn)
1658057400,Jul 17 2022 - 11:30am,complete,N/A,Hansa Rostock,Heidenheim,Daniel Siebert,1,0.00,0.00,1.50,1.50,0,1,1,0,0,0,"","50",2,4,2,0,1,0,0,2,1,0,14,11,5,5,9,6,10,11,43,57,1.57,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.48,3.20,2.90,1.29,1.90,3.22,6.27,1.73,2.00,Ostseestadion (Rostock)
1658057400,Jul 17 2022 - 11:30am,complete,N/A,Eintracht Braunschweig,Hamburger SV,Timo Gerach,1,0.00,0.00,0.00,3.00,0,2,2,0,0,0,"","67,76",9,4,0,0,2,0,0,0,1,1,25,16,4,6,21,10,7,15,30,70,2.09,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,4.25,1.60,1.19,1.65,2.56,4.52,1.73,2.00,Eintracht-Stadion (Braunschweig)
1658507400,Jul 22 2022 - 4:30pm,complete,N/A,Darmstadt 98,Sandhausen,Nicolas Winter,2,0.00,0.00,3.00,0.00,2,1,3,2,1,1,"9,55","24",8,3,2,0,3,0,0,2,0,3,10,8,3,4,7,4,11,12,61,39,1.15,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.85,5.10,1.18,1.58,2.49,4.24,1.67,2.10,Merck-Stadion am Böllenfalltor (Darmstadt)
