timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Dunfermline Athletic,Alloa Athletic,Greg Aitken,1,0.00,0.00,1.80,1.00,1,0,1,0,0,0,"74","",6,4,1,0,1,0,0,1,1,0,11,10,3,5,8,5,-1,-1,50,50,1.43,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.40,3.55,1.30,1.90,3.30,6.00,1.83,1.83,East End Park (Dunfermline)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Falkirk,Montrose,Gavin Duncan,1,0.00,0.00,2.50,1.40,0,0,0,0,0,0,"","",3,9,1,0,3,0,1,0,2,1,14,12,6,6,8,6,-1,-1,50,50,1.64,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.10,3.00,1.30,1.87,3.30,6.00,1.83,1.83,Falkirk Community Stadium (Falkirk)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Kelty Hearts,Edinburgh City,Calum Scott,1,0.00,0.00,2.00,2.40,0,2,2,1,0,1,"","34,90",6,3,2,0,1,0,0,2,1,0,17,6,9,6,8,0,-1,-1,50,50,2.13,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.54,3.96,1.28,1.91,3.30,5.00,1.83,1.83,New Central Park (Kelty)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Peterhead,Airdrieonians,Chris Fordyce,1,0.00,0.00,0.60,1.00,0,2,2,2,0,2,"","33,39",2,11,2,0,0,0,0,2,0,0,11,20,3,10,8,10,-1,-1,50,50,1.10,2.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.10,2.30,1.30,1.83,3.30,5.50,1.80,1.91,Balmoor Stadium (Peterhead)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Queen of the South,Clyde,Scott Lambie,1,0.00,0.00,1.00,0.60,1,4,5,3,1,2,"1","16,43,82,89",0,4,0,1,2,0,0,1,0,2,14,15,7,6,7,9,-1,-1,50,50,1.63,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.65,4.00,1.28,1.90,3.10,5.00,1.83,1.83,Palmerston Park (Dumfries)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Airdrieonians,Falkirk,Lloyd Wilson,2,0.00,0.00,2.00,1.40,4,0,4,1,1,0,"21,61,85,89","",3,2,2,0,3,0,0,2,1,2,12,9,7,5,5,4,-1,-1,50,50,1.56,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.06,3.32,3.00,1.23,1.73,2.70,5.00,1.65,2.10,Excelsior Stadium (Airdrie)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Alloa Athletic,Kelty Hearts,Iain Snedden,2,0.00,0.00,1.80,0.00,3,1,4,1,1,0,"11,68,81","87",2,5,2,0,2,0,1,1,0,2,4,2,4,2,0,0,-1,-1,50,50,0.85,0.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.19,3.00,1.23,1.70,2.75,5.00,1.66,2.10,Indodrill Stadium (Alloa)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Clyde,Peterhead,Alan Newlands,2,0.00,0.00,1.00,0.40,2,2,4,4,2,2,"14,19","28,29",6,5,2,1,3,0,1,2,0,3,9,13,6,9,3,4,-1,-1,50,50,1.38,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.22,2.33,1.23,1.80,2.75,5.00,1.63,2.15,Fountain of Youth Stadium (Hamilton)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Edinburgh City,Dunfermline Athletic,Barry Cook,2,0.00,0.00,1.80,2.50,0,3,3,2,0,2,"","14,41,72",0,16,1,1,1,0,2,0,1,0,3,26,2,13,1,13,-1,-1,50,50,0.50,3.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.64,3.10,2.18,1.25,1.70,2.90,5.25,1.68,2.05,Meadowbank Stadium (Edinburgh)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Montrose,Queen of the South,Duncan Williams,2,0.00,0.00,2.00,1.00,0,0,0,0,0,0,"","",3,8,2,0,2,0,2,0,1,1,14,13,5,4,9,9,-1,-1,50,50,1.66,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.09,3.18,2.73,1.24,1.70,2.80,5.00,1.66,2.10,Links Park (Montrose)
1660399200,Aug 13 2022 - 2:00pm,complete,N/A,Alloa Athletic,Edinburgh City,Dan McFarlane,3,3.00,3.00,1.80,2.40,2,4,6,3,1,2,"8,85","21,33,54,87",7,5,3,0,3,1,0,3,1,3,18,16,10,10,8,6,-1,-1,50,50,2.30,2.03,3.00,50,100,50,50,0,0,100,50,100,5.00,3.00,1.75,3.75,4.00,1.23,1.75,2.75,5.00,1.67,2.15,Indodrill Stadium (Alloa)
