timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Bonnyrigg Rose Athletic,Forfar Athletic,Alan Newlands,1,0.00,0.00,1.50,0.75,2,0,2,0,0,0,"58,86","",7,6,2,0,0,0,1,1,0,0,13,5,6,0,7,5,-1,-1,50,50,1.72,0.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.25,1.95,1.30,1.80,3.30,5.50,1.73,2.00,New Dundas Park (Bonnyrigg)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Dumbarton,Stirling Albion,Duncan Williams,1,0.00,0.00,3.00,1.80,2,0,2,2,2,0,"1,5","",2,3,6,0,3,1,0,6,1,3,9,4,5,2,4,2,-1,-1,50,50,1.16,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.20,3.40,1.30,1.87,3.50,5.50,1.83,1.83,The moreroom.com Stadium (Dumbarton)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Elgin City,East Fife,Iain Snedden,1,0.00,0.00,1.75,2.20,1,3,4,2,0,2,"76","28,40,59",4,3,1,0,0,0,0,1,0,0,16,9,4,5,12,4,-1,-1,50,50,1.70,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.25,2.10,1.25,1.70,2.90,4.75,1.67,2.10,Borough Briggs (Elgin)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Stenhousemuir,Albion Rovers,Dan McFarlane,1,0.00,0.00,1.60,1.00,1,0,1,1,1,0,"21","",2,5,4,0,3,0,1,3,2,1,13,12,6,3,7,9,-1,-1,50,50,1.56,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.00,1.25,1.73,3.00,5.00,1.73,2.00,Ochilview Park (Stenhousemuir)
1659189600,Jul 30 2022 - 2:00pm,complete,N/A,Stranraer,Annan Athletic,Ross Hardie,1,0.00,0.00,1.83,0.40,1,0,1,1,1,0,"26","",4,6,3,0,1,0,1,2,1,0,10,9,4,3,6,6,-1,-1,50,50,1.21,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,3.20,2.65,1.28,1.80,3.10,5.50,1.80,1.91,Stair Park (Stranraer)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Albion Rovers,Dumbarton,Steven Kirkland,2,0.00,0.00,0.80,1.67,1,2,3,2,1,1,"17","24,88",2,2,2,1,4,0,1,2,1,3,12,16,8,8,4,8,-1,-1,50,50,1.63,1.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.29,3.13,2.48,1.25,1.73,3.00,5.00,1.67,2.10,The Reigart Stadium (Coatbridge)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Annan Athletic,Stenhousemuir,Chris Fordyce,2,0.00,0.00,1.75,1.80,2,1,3,1,1,0,"30,56","74",5,6,3,0,2,0,2,1,1,1,14,14,8,2,6,12,-1,-1,50,50,1.80,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.27,3.22,2.72,1.25,1.77,2.88,5.00,1.67,2.10,Galabank (Annan)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,East Fife,Bonnyrigg Rose Athletic,Alastair Grieve,2,0.00,0.00,0.60,0.80,0,3,3,2,0,2,"","21,27,61",0,2,0,0,3,1,0,0,2,2,10,6,4,5,6,1,-1,-1,50,50,1.26,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.30,3.20,1.25,1.67,3.10,4.75,1.62,2.20,Bayview Stadium (Methil)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Forfar Athletic,Stranraer,Scott Lambie,2,0.00,0.00,0.83,0.25,2,0,2,0,0,0,"54,60","",9,5,1,0,1,0,1,0,0,1,18,10,7,4,11,6,-1,-1,50,50,1.96,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.45,3.35,1.25,1.76,2.90,5.25,1.73,2.00,Station Park (Forfar)
1659794400,Aug 06 2022 - 2:00pm,complete,N/A,Stirling Albion,Elgin City,Stewart Luke,2,0.00,0.00,2.20,1.20,2,2,4,2,0,2,"55,61","18,45'2",4,4,1,0,2,1,1,0,1,2,12,9,8,4,4,5,-1,-1,50,50,1.86,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.35,2.77,1.25,1.77,2.90,5.25,1.67,2.10,Forthbank Stadium (Stirling)
