timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657906200,Jul 15 2022 - 5:30pm,complete,N/A,FC Schaffhausen,Thun,N/A,1,0.00,0.00,1.17,1.00,1,0,1,1,1,0,"45","",5,7,-1,-1,-1,-1,-1,-1,-1,-1,12,21,5,13,7,8,-1,-1,50,50,1.43,2.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,3.75,2.05,1.17,1.48,2.40,4.00,1.44,2.63,LIPO Park Schaffhausen
1657906200,Jul 15 2022 - 5:30pm,complete,N/A,Yverdon Sport,Stade Lausanne-Ouchy,N/A,1,0.00,0.00,1.67,1.83,2,1,3,2,1,1,"11,55","40",8,9,-1,-1,-1,-1,-1,-1,-1,-1,13,9,7,5,6,4,-1,-1,49,51,1.83,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.60,1.80,1.22,1.70,2.80,5.15,1.62,2.20,Stade Municipal
1657908900,Jul 15 2022 - 6:15pm,complete,N/A,Aarau,Vaduz,N/A,1,0.00,0.00,1.20,0.60,1,1,2,1,1,0,"10","83",2,4,-1,-1,-1,-1,-1,-1,-1,-1,8,16,3,4,5,12,-1,-1,48,52,1.20,1.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.00,2.80,1.14,1.44,2.15,3.50,1.44,2.63,Stadion Brügglifeld
1657987200,Jul 16 2022 - 4:00pm,complete,N/A,Bellinzona,Lausanne Sport,N/A,1,0.00,0.00,1.50,1.20,1,0,1,0,0,0,"66","",2,8,-1,-1,-1,-1,-1,-1,-1,-1,9,15,6,4,3,11,-1,-1,40,60,1.18,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.80,1.63,1.20,1.62,2.65,4.33,1.57,2.25,N/A
1658060100,Jul 17 2022 - 12:15pm,complete,N/A,Wil,Neuchâtel Xamax,N/A,1,0.00,0.00,2.60,0.00,2,0,2,2,2,0,"32,42","",5,3,-1,-1,-1,-1,-1,-1,-1,-1,11,10,5,5,6,5,-1,-1,40,60,1.53,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.40,2.50,1.17,1.54,2.25,4.00,1.44,2.63,Liko Arena
1658511000,Jul 22 2022 - 5:30pm,complete,N/A,Neuchâtel Xamax,Aarau,N/A,2,0.00,0.00,0.83,1.83,1,2,3,2,1,1,"37","45'1,70",7,2,-1,-1,-1,-1,-1,-1,-1,-1,7,10,6,4,1,6,-1,-1,36,64,1.25,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,4.20,1.85,1.17,1.50,2.40,3.75,1.50,2.50,Stade de la Maladière
1658513700,Jul 22 2022 - 6:15pm,complete,N/A,Lausanne Sport,FC Schaffhausen,N/A,2,0.00,0.00,2.67,1.33,5,1,6,3,2,1,"11,24,75,78,90'2","21",8,2,-1,-1,-1,-1,-1,-1,-1,-1,13,14,9,8,4,6,-1,-1,54,46,1.98,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,4.33,3.80,1.20,1.57,2.40,4.33,1.62,2.20,N/A
1658513700,Jul 22 2022 - 6:15pm,complete,N/A,Thun,Bellinzona,N/A,2,0.00,0.00,1.33,1.40,1,1,2,1,1,0,"29","90'1",4,3,-1,-1,-1,-1,-1,-1,-1,-1,12,5,7,3,5,2,-1,-1,58,42,2.00,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,4.20,4.20,1.20,1.53,2.50,4.33,1.57,2.25,Stockhorn Arena
1658592000,Jul 23 2022 - 4:00pm,complete,N/A,Stade Lausanne-Ouchy,Wil,N/A,2,0.00,0.00,2.00,1.00,2,1,3,2,1,1,"35,50","3",6,5,-1,-1,-1,-1,-1,-1,-1,-1,15,9,7,3,8,6,-1,-1,49,51,1.84,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,4.00,3.20,1.17,1.48,2.25,3.75,1.44,2.63,Stade Juan-Antonio Samaranch
1658664900,Jul 24 2022 - 12:15pm,complete,N/A,Vaduz,Yverdon Sport,N/A,2,0.00,0.00,0.83,1.67,3,3,6,3,1,2,"3,84,90'4","21,41,68",5,3,-1,-1,-1,-1,-1,-1,-1,-1,12,11,5,5,7,6,-1,-1,53,47,1.55,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.54,3.75,4.09,1.17,1.57,2.40,4.00,1.57,2.25,Rheinpark Stadion
1659115800,Jul 29 2022 - 5:30pm,complete,N/A,FC Schaffhausen,Neuchâtel Xamax,N/A,3,3.00,0.00,1.17,0.00,2,0,2,0,0,0,"57,84","",3,9,-1,-1,-1,-1,-1,-1,-1,-1,11,12,6,3,5,9,-1,-1,44,56,1.48,1.43,1.50,0,50,0,0,0,50,100,0,0,8.00,0.00,1.70,4.50,4.20,1.17,1.57,2.45,4.10,1.62,2.20,LIPO Park Schaffhausen
1659115800,Jul 29 2022 - 5:30pm,complete,N/A,Yverdon Sport,Thun,N/A,3,3.00,0.00,1.67,1.00,3,1,4,2,2,0,"9,34,90'3","47",9,4,-1,-1,-1,-1,-1,-1,-1,-1,13,11,8,6,5,5,-1,-1,39,61,1.88,1.76,2.00,50,50,50,0,0,50,100,0,50,15.00,0.00,3.10,3.40,2.30,1.17,1.65,2.40,4.00,1.53,2.38,Stade Municipal
1659118500,Jul 29 2022 - 6:15pm,complete,N/A,Aarau,Lausanne Sport,N/A,3,1.00,0.00,1.20,1.20,1,2,3,1,0,1,"88","22,65",6,7,-1,-1,-1,-1,-1,-1,-1,-1,10,17,6,10,4,7,-1,-1,59,41,1.69,2.30,1.50,50,50,0,0,0,0,50,0,100,10.00,0.00,2.30,3.75,2.88,1.20,1.44,2.30,4.00,1.40,2.75,Stadion Brügglifeld
1659196800,Jul 30 2022 - 4:00pm,complete,N/A,Bellinzona,Stade Lausanne-Ouchy,N/A,3,3.00,0.00,1.50,1.83,1,4,5,3,1,2,"8","40,45,57,90'1",2,6,-1,-1,-1,-1,-1,-1,-1,-1,10,15,4,6,6,9,-1,-1,47,53,1.19,1.84,2.00,50,50,50,0,0,50,50,0,100,11.00,0.00,2.38,3.50,2.90,1.22,1.70,2.75,4.50,1.57,2.25,N/A
1659269700,Jul 31 2022 - 12:15pm,complete,N/A,Wil,Vaduz,N/A,3,3.00,1.00,2.60,0.60,2,0,2,0,0,0,"84,90'5","",6,8,-1,-1,-1,-1,-1,-1,-1,-1,18,11,8,5,10,6,-1,-1,54,46,2.36,1.60,2.00,50,100,0,0,0,50,100,0,50,9.00,0.00,2.32,3.86,2.82,1.14,1.40,2.23,3.59,1.40,2.75,Liko Arena
1659720600,Aug 05 2022 - 5:30pm,complete,N/A,FC Schaffhausen,Wil,N/A,4,3.00,0.00,1.17,1.00,0,1,1,1,0,1,"","29",7,6,-1,-1,-1,-1,-1,-1,-1,-1,12,15,0,5,12,10,-1,-1,58,42,1.48,1.92,2.25,50,75,50,0,0,50,75,25,75,9.00,0.00,2.25,4.00,2.80,1.15,1.36,2.25,3.75,1.36,3.00,LIPO Park Schaffhausen
1659723300,Aug 05 2022 - 6:15pm,complete,N/A,Neuchâtel Xamax,Yverdon Sport,N/A,4,0.00,1.00,0.83,1.67,2,3,5,2,1,1,"32,63","31,77,82",3,4,-1,-1,-1,-1,-1,-1,-1,-1,10,11,4,5,6,6,-1,-1,46,54,1.37,1.52,4.50,100,100,100,50,50,100,100,50,100,10.00,0.00,2.80,3.80,2.30,1.21,1.67,2.60,4.70,1.57,2.25,Stade de la Maladière
1659723300,Aug 05 2022 - 6:15pm,complete,N/A,Thun,Aarau,N/A,4,1.00,3.00,1.33,1.83,2,2,4,0,0,0,"71,90'3","84,89",7,6,-1,-1,-1,-1,-1,-1,-1,-1,12,15,6,9,6,6,-1,-1,47,53,1.88,2.14,2.50,100,100,50,0,0,50,100,0,100,6.00,0.00,2.05,4.20,3.00,1.16,1.48,2.20,3.60,1.44,2.63,Stockhorn Arena
1659874500,Aug 07 2022 - 12:15pm,complete,N/A,Vaduz,Bellinzona,N/A,4,1.00,1.00,0.83,1.40,2,3,5,2,0,2,"48,66","19,34,88",4,3,-1,-1,-1,-1,-1,-1,-1,-1,14,10,8,7,6,3,-1,-1,55,45,2.03,1.63,4.00,100,100,50,50,50,50,100,50,100,8.00,0.00,1.95,3.60,3.00,1.18,1.57,2.50,4.33,1.50,2.50,Rheinpark Stadion
1659882600,Aug 07 2022 - 2:30pm,complete,N/A,Lausanne Sport,Stade Lausanne-Ouchy,N/A,4,3.00,1.50,2.67,1.83,0,0,0,0,0,0,"","",3,9,-1,-1,-1,-1,-1,-1,-1,-1,15,13,8,8,7,5,-1,-1,56,44,2.01,1.83,5.00,100,100,100,75,75,100,100,75,100,15.50,0.00,1.67,4.00,4.33,1.17,1.57,2.30,4.20,1.53,2.38,N/A
1660325400,Aug 12 2022 - 5:30pm,complete,N/A,Neuchâtel Xamax,Lausanne Sport,N/A,5,0.00,1.50,0.83,1.20,0,1,1,1,0,1,"","44",2,4,-1,-1,-1,-1,-1,-1,-1,-1,9,5,4,3,5,2,-1,-1,49,51,1.40,1.12,3.00,75,75,75,25,25,50,75,50,100,12.50,0.00,3.75,3.80,1.95,1.19,1.65,2.50,4.37,1.62,2.20,Stade de la Maladière
1660325400,Aug 12 2022 - 5:30pm,complete,N/A,Yverdon Sport,Wil,N/A,5,3.00,1.50,1.67,1.00,1,3,4,3,0,3,"54","9,15,38",6,4,-1,-1,-1,-1,-1,-1,-1,-1,14,7,5,4,9,3,-1,-1,64,36,1.77,0.95,2.75,75,75,75,25,0,75,100,25,75,14.00,0.00,1.95,4.00,3.30,1.17,1.40,2.30,4.00,1.40,2.75,Stade Municipal
