timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657987200,Jul 16 2022 - 4:00pm,complete,N/A,Young Boys,Zürich,Sandro Schärer,1,0.00,0.00,2.60,0.40,4,0,4,0,0,0,"62,77,80,85","",2,3,4,0,3,0,3,1,0,3,13,10,8,5,5,5,14,13,62,38,1.79,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,4.33,5.50,1.13,1.40,2.10,3.53,1.53,2.38,Stadion Wankdorf (Bern)
1657996200,Jul 16 2022 - 6:30pm,complete,N/A,Winterthur,Basel,Alain Bieri,1,0.00,0.00,0.83,1.00,1,1,2,1,1,0,"3","70",11,3,3,0,4,0,0,3,1,3,8,10,3,6,5,4,21,10,34,66,1.28,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,3.60,1.95,1.18,1.50,2.30,4.14,1.50,2.50,Stadion Schützenwiese (Winterthur)
1658068200,Jul 17 2022 - 2:30pm,complete,N/A,Lugano,Sion,Fedayi San,1,0.00,0.00,1.20,2.00,2,3,5,1,0,1,"61,88","43,59,85",9,7,0,1,0,0,0,1,0,0,15,13,6,6,9,7,8,12,58,42,1.93,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.40,4.00,1.27,1.87,3.11,5.91,1.80,1.91,Stadio di Cornaredo (Lugano)
1658068200,Jul 17 2022 - 2:30pm,complete,N/A,Servette,St. Gallen,Lukas Fähndrich,1,0.00,0.00,2.33,0.60,1,0,1,1,1,0,"5","",6,4,1,0,2,0,0,1,1,1,8,13,3,3,5,10,12,10,36,64,1.11,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.50,2.70,1.16,1.50,2.20,3.75,1.44,2.63,Stade de Genève (Lancy)
1658592000,Jul 23 2022 - 4:00pm,complete,N/A,Zürich,Luzern,Luca Piccolo,2,0.00,0.00,0.50,1.33,0,0,0,0,0,0,"","",3,7,1,0,3,1,0,1,1,3,15,17,4,6,11,11,9,13,60,40,1.66,2.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.85,3.22,1.17,1.53,2.32,4.00,1.50,2.50,Stadion Letzigrund (Zürich)
1658601000,Jul 23 2022 - 6:30pm,complete,N/A,St. Gallen,Winterthur,Sven Wolfensberger,2,0.00,0.00,2.17,0.80,2,0,2,2,2,0,"20,40","",4,3,2,1,4,0,1,2,2,2,20,13,5,3,15,10,8,11,55,45,2.29,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,4.05,3.58,1.17,1.50,2.28,3.75,1.51,2.40,Kybunpark (St. Gallen)
1658664900,Jul 24 2022 - 12:15pm,complete,N/A,Basel,Servette,Alessandro Dudic,2,0.00,0.00,1.60,1.00,1,1,2,1,1,0,"45'1","87",6,2,3,0,5,0,0,3,3,2,17,14,5,4,12,10,8,6,64,36,2.10,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.66,3.78,3.82,1.16,1.50,2.25,3.70,1.50,2.50,St. Jakob-Park (Basel)
1658673000,Jul 24 2022 - 2:30pm,complete,N/A,Grasshopper,Lugano,Stefan Horisberger,2,0.00,0.00,2.20,1.67,2,1,3,1,1,0,"12,47","79",3,8,1,0,0,0,0,1,0,0,13,19,8,6,5,13,10,10,38,62,1.65,2.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.55,3.00,1.25,1.97,2.85,5.25,1.67,2.10,Stadion Letzigrund (Zürich)
1658673000,Jul 24 2022 - 2:30pm,complete,N/A,Sion,Young Boys,Alain Bieri,2,0.00,0.00,1.33,1.83,0,3,3,2,0,2,"","2,6,88",4,6,2,0,3,0,2,0,1,2,16,12,9,5,7,7,10,14,50,50,2.23,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,4.25,1.65,1.16,1.50,2.25,3.75,1.53,2.38,Stade de Tourbillon (Sion)
1659196800,Jul 30 2022 - 4:00pm,complete,N/A,St. Gallen,Zürich,Lukas Fähndrich,3,3.00,0.00,2.17,0.40,2,0,2,2,2,0,"20,45'1","",6,8,1,1,4,0,1,1,1,3,15,14,9,9,6,5,7,14,43,57,2.16,2.16,3.00,0,100,50,50,0,50,50,50,50,7.00,6.00,1.97,4.20,3.15,1.14,1.45,2.25,3.60,1.42,2.75,Kybunpark (St. Gallen)
