,result
0,0
1,0
2,1
3,0
4,1
5,2
6,1
7,0
8,2
9,0
10,2
11,2
12,0
13,1
14,0
15,2
16,2
17,0
18,0
19,0
20,0
21,2
22,1
23,1
24,0
25,1
26,2
27,2
28,2
29,0
30,1
31,0
32,2
33,2
34,0
35,2
36,0
37,0
38,2
39,2
40,0
41,2
42,0
43,0
44,2
45,2
46,2
47,1
48,1
49,2
50,1
51,0
52,0
53,2
54,2
55,0
56,1
57,1
58,2
59,2
60,2
61,1
62,2
63,0
64,1
65,0
66,2
67,0
68,1
69,0
70,2
71,1
72,1
73,0
74,2
75,0
76,2
77,2
78,1
79,2
80,1
81,0
82,2
83,2
84,2
85,1
86,1
87,2
88,0
89,0
90,1
91,2
92,0
93,1
94,2
95,0
96,2
97,2
98,1
99,0
100,2
101,2
102,2
103,1
104,0
105,0
106,2
107,0
108,0
109,2
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,2
118,2
119,1
120,2
121,2
122,0
123,2
124,0
125,2
126,2
127,0
128,2
129,2
130,0
131,0
132,0
133,2
134,0
135,2
136,2
137,0
138,2
139,2
140,0
141,1
142,2
143,0
144,2
145,2
146,2
147,2
148,0
149,1
150,1
151,2
152,2
153,2
154,1
155,1
156,2
157,2
158,1
159,2
160,0
161,0
162,1
163,2
164,0
165,0
166,2
167,2
168,2
169,2
170,2
171,2
172,1
173,0
174,0
175,0
176,2
177,2
178,2
179,2
180,1
181,0
182,0
183,2
184,2
185,2
186,0
187,1
188,0
189,1
190,0
191,2
192,1
193,2
194,2
195,2
196,0
197,2
198,2
199,1
200,1
201,0
202,2
203,2
204,0
205,1
206,2
207,0
208,1
209,2
210,0
211,2
212,2
213,2
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,2
223,2
224,0
225,2
226,2
227,1
228,2
229,1
230,0
231,1
232,2
233,0
234,2
235,0
236,2
237,2
238,1
239,1
240,1
241,1
242,1
243,1
244,2
245,1
246,2
247,2
248,2
249,1
250,1
251,2
252,2
253,0
254,2
255,0
256,0
257,1
258,0
259,1
260,2
261,2
262,0
263,0
264,2
265,1
266,1
267,2
268,2
269,1
270,1
271,2
272,0
273,2
274,0
275,2
276,2
277,2
278,1
279,1
280,2
281,2
282,2
283,1
284,2
285,1
286,1
287,2
288,1
289,0
290,0
291,1
292,1
293,2
294,2
295,2
296,0
297,2
298,0
299,0
300,1
301,0
302,2
303,1
304,2
305,1
306,0
307,0
308,0
309,1
310,0
311,2
312,2
313,1
314,1
315,2
316,1
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,1
326,0
327,2
328,0
329,2
330,1
331,0
332,1
333,2
334,0
335,2
336,2
337,0
338,0
339,2
340,2
341,2
342,2
343,0
344,2
345,1
346,1
347,2
348,0
349,2
350,0
351,2
352,2
353,1
354,2
355,2
356,2
357,2
358,1
359,2
360,0
361,2
362,0
363,2
364,0
365,2
366,1
367,1
368,0
369,2
370,2
371,1
372,1
373,2
374,0
375,2
376,0
377,2
378,1
379,1
380,0
381,2
382,0
383,0
384,1
385,2
386,2
387,2
388,1
389,2
390,0
391,0
392,0
393,1
394,2
395,2
396,0
397,0
398,2
399,2
400,1
401,2
402,0
403,0
404,2
405,2
406,2
407,1
408,2
409,2
410,0
411,2
412,1
413,2
414,1
415,0
416,1
417,2
418,0
419,2
420,1
421,2
422,2
423,0
424,2
425,2
426,2
427,2
428,2
429,0
430,2
431,2
432,2
433,1
434,2
435,2
436,2
437,0
438,2
439,1
440,2
441,2
442,1
443,2
444,2
445,0
446,0
447,2
448,2
449,1
450,2
451,0
452,2
453,2
454,1
455,0
456,1
457,0
458,1
459,2
460,0
461,2
462,2
463,0
464,2
465,0
466,1
467,0
468,0
469,2
470,0
471,0
472,0
473,2
474,0
475,2
476,1
477,2
478,1
479,2
480,0
481,1
482,0
483,1
484,2
485,2
486,2
487,1
488,1
489,2
490,2
491,2
492,0
493,0
494,2
495,0
496,0
497,0
498,1
499,2
500,2
501,1
502,1
503,0
504,2
505,1
506,2
507,0
508,2
509,0
510,2
511,0
512,1
513,2
514,0
515,1
516,2
517,2
518,0
519,2
520,1
521,1
522,1
523,2
524,0
525,1
526,0
527,1
528,1
529,0
530,2
531,2
532,2
